Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
k-core,100,0.6,0.15,1.000,0.990,0.995,0.615,4950,88
Densest,100,0.6,0.15,1.000,1.000,1.000,0.613,4800,1516
L-RMC,100,0.8,0.01,1.000,0.610,0.758,0.867,2989,3
k-core,100,0.8,0.01,1.000,0.980,0.990,0.810,6958,3
Densest,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,449
L-RMC,100,0.8,0.03,1.000,0.570,0.726,0.875,2622,6
k-core,100,0.8,0.03,1.000,1.000,1.000,0.807,7100,10
Densest,100,0.8,0.03,1.000,1.000,1.000,0.807,7100,613
L-RMC,100,0.8,0.05,1.000,0.470,0.639,0.896,1833,9
k-core,100,0.8,0.05,1.000,1.000,1.000,0.806,7100,18
Densest,100,0.8,0.05,1.000,1.000,1.000,0.806,7100,769
L-RMC,100,0.8,0.07,1.000,0.620,0.765,0.850,3038,13
k-core,100,0.8,0.07,1.000,1.000,1.000,0.793,7000,29
Densest,100,0.8,0.07,1.000,1.000,1.000,0.793,7000,924
L-RMC,100,0.8,0.10,1.000,0.600,0.750,0.854,2880,20
k-core,100,0.8,0.10,1.000,0.960,0.980,0.799,6624,48
Densest,100,0.8,0.10,1.000,1.000,1.000,0.791,6800,1174
L-RMC,100,0.8,0.15,1.000,0.500,0.667,0.880,2050,34
k-core,100,0.8,0.15,1.000,0.990,0.995,0.803,6930,89
Densest,100,0.8,0.15,1.000,1.000,1.000,0.801,6900,1539
L-RMC,100,0.9,0.01,1.000,0.670,0.802,0.936,4020,4
k-core,100,0.9,0.01,1.000,0.970,0.985,0.904,7954,3
Densest,100,0.9,0.01,1.000,1.000,1.000,0.898,7900,461
L-RMC,100,0.9,0.03,1.000,0.720,0.837,0.933,4608,6
k-core,100,0.9,0.03,1.000,0.990,0.995,0.903,8118,10
Densest,100,0.9,0.03,1.000,1.000,1.000,0.901,8000,621
L-RMC,100,0.9,0.05,1.000,0.620,0.765,0.943,3472,9
k-core,100,0.9,0.05,1.000,1.000,1.000,0.899,8300,17
Densest,100,0.9,0.05,1.000,1.000,1.000,0.899,8300,781
L-RMC,100,0.9,0.07,1.000,0.600,0.750,0.946,3240,13
k-core,100,0.9,0.07,1.000,0.990,0.995,0.901,8316,28
Densest,100,0.9,0.07,1.000,1.000,1.000,0.900,8300,964
L-RMC,100,0.9,0.10,1.000,0.580,0.734,0.959,3074,34
k-core,100,0.9,0.10,1.000,1.000,1.000,0.904,8200,59
Densest,100,0.9,0.10,1.000,1.000,1.000,0.904,8200,1210
L-RMC,100,0.9,0.15,1.000,0.610,0.758,0.945,3294,34
k-core,100,0.9,0.15,1.000,0.980,0.990,0.902,7938,88
Densest,100,0.9,0.15,1.000,1.000,1.000,0.898,7800,1559
